room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,city,realsum_cut,longitude_disc_2_093_2_347,longitude_disc_2_347_12_47,longitude_disc_12_47_12_583,latitude_disc_41_35_41_893,latitude_disc_41_893_48_837,latitude_disc_48_837_48_901
2,0,4.0,0,0,0,9.0,93.0,0,4.6409197,0.17767589,2.32832,48.89508,0,2,255.61562,True,False,False,False,False,True
2,0,4.0,1,0,0,10.0,98.0,2,2.559672,0.8244046,12.506,41.878,1,3,155.47191,False,False,True,True,False,False
1,1,2.0,0,0,0,9.0,87.0,1,4.442326,0.38117647,2.19811,41.4211,1,1,124.97964,True,False,False,True,False,False
1,1,3.0,0,1,0,10.0,80.0,1,5.627251,0.41178918,12.47346,41.85501,0,3,126.715454,False,False,True,True,False,False
2,0,5.0,0,0,1,9.0,95.0,1,1.1895889,0.1363579,2.35181,48.86725,1,2,559.465,False,True,False,False,False,True
1,1,2.0,0,1,0,10.0,80.0,1,4.820026,0.82139766,2.20337,41.42255,1,1,202.48097,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,98.0,1,1.271048,0.30586323,2.33947,48.84922,0,2,530.8044,True,False,False,False,False,True
2,0,4.0,1,1,0,10.0,99.0,2,2.9873154,1.237401,12.46627,41.90001,1,3,402.35663,False,True,False,False,True,False
2,0,3.0,0,0,0,10.0,100.0,2,0.8284484,0.4282828,12.495,41.906,1,3,252.26195,False,False,True,False,True,False
2,0,4.0,0,0,1,8.0,80.0,0,2.1034286,0.23763235,2.3814,48.85585,1,2,406.84128,False,True,False,False,False,True
2,0,4.0,1,0,0,10.0,98.0,2,3.0617285,1.7319276,12.4873,41.92607,1,3,300.65695,False,False,True,False,True,False
2,0,2.0,1,0,0,10.0,97.0,0,2.1945024,1.2862729,12.477,41.895,0,3,271.9005,False,False,True,False,True,False
2,0,6.0,1,0,1,10.0,100.0,2,3.9533257,0.19549902,12.52968,41.87178,1,3,242.20888,False,False,True,True,False,False
1,1,2.0,1,1,0,10.0,96.0,1,2.8453047,0.22189093,2.33175,48.87809,1,2,222.52773,True,False,False,False,False,True
2,0,3.0,0,1,0,9.0,85.0,1,1.2194736,0.16532329,2.16853,41.37621,1,1,368.18954,True,False,False,True,False,False
1,1,5.0,0,1,0,10.0,83.0,2,0.9198657,0.23700863,2.15969,41.38427,0,1,324.2023,True,False,False,True,False,False
2,0,4.0,0,1,0,9.0,97.0,1,5.4139967,0.06242172,12.47763,41.85574,1,3,265.8219,False,False,True,True,False,False
2,0,2.0,0,0,1,6.0,40.0,0,1.7427212,0.13398999,2.37467,48.85053,1,2,312.9369,False,True,False,False,False,True
2,0,2.0,0,0,0,10.0,90.0,1,1.0359002,0.78985447,2.17261,41.39626,1,1,266.25085,True,False,False,True,False,False
2,0,5.0,0,1,0,10.0,87.0,1,0.74593306,0.08549604,2.34425,48.85288,0,2,907.5869,True,False,False,False,False,True
2,0,4.0,0,1,0,10.0,92.0,2,3.57276,0.53179556,12.5236,41.9288,1,3,138.40508,False,False,True,False,True,False
2,0,2.0,0,0,0,10.0,95.0,1,4.2206597,0.12609658,2.30881,48.88109,0,2,236.0425,True,False,False,False,False,True
1,1,2.0,0,1,0,10.0,93.0,1,4.7816324,0.55089617,2.21273,41.41578,0,1,150.58067,True,False,False,True,False,False
