room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
2,0,4.0,0,1,0,10.0,94.0,2,3.8719735,0.20607595,12.45648,41.90765,1,239.63716,True,False,False,True,False,False
2,0,5.0,0,0,1,8.0,80.0,2,2.4997709,1.3905385,12.47269,41.89654,1,573.5861,False,True,False,False,True,False
2,0,2.0,1,0,0,10.0,97.0,0,3.8509507,0.44429308,12.54256,41.88371,1,173.47392,False,False,True,False,False,True
2,0,4.0,0,0,0,9.0,91.0,1,3.0147712,0.74478394,12.5374,41.90772,1,132.79405,False,False,True,False,False,True
2,0,4.0,0,1,0,10.0,100.0,0,2.0263638,0.32024357,12.47994,41.90829,1,207.6076,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,92.0,1,1.8460274,0.32719597,12.51382,41.88668,0,73.64459,False,False,True,False,False,True
1,1,3.0,0,0,1,10.0,100.0,0,3.183632,0.71750504,12.46426,41.90487,0,138.40508,True,False,False,True,False,False
2,0,2.0,1,0,0,10.0,92.0,1,5.323088,0.208675,12.48066,41.85575,1,124.377525,False,True,False,False,True,False
2,0,4.0,0,0,1,10.0,98.0,1,3.069439,1.9405303,12.46738,41.89166,1,326.14032,True,False,False,True,False,False
1,1,3.0,1,1,0,10.0,94.0,1,4.5151935,0.40400055,12.48156,41.86328,1,108.24586,False,True,False,False,True,False
2,0,5.0,0,0,1,9.0,90.0,1,2.905264,1.3343041,12.46729,41.89948,0,259.27573,True,False,False,True,False,False
2,0,4.0,0,0,1,9.0,92.0,1,4.787841,0.21151656,12.44551,41.90869,1,196.38557,True,False,False,True,False,False
2,0,5.0,1,1,0,9.0,97.0,2,2.547059,1.2046926,12.47573,41.88933,0,322.63342,False,True,False,False,True,False
2,0,6.0,1,0,0,10.0,98.0,2,1.098289,0.29501334,12.503,41.891,0,280.08322,False,False,True,False,False,True
2,0,6.0,1,1,0,10.0,98.0,3,3.459856,0.34555382,12.462,41.909,0,443.97165,True,False,False,True,False,False
2,0,4.0,0,0,1,9.0,82.0,1,0.73659873,0.18148509,12.49352,41.90208,1,288.26596,False,True,False,False,True,False
2,0,6.0,0,0,1,10.0,87.0,1,2.6073668,1.1877013,12.47083,41.90073,0,322.63342,True,False,False,True,False,False
2,0,4.0,1,0,1,10.0,95.0,2,1.3799183,0.2684665,12.48587,41.90302,1,266.2895,False,True,False,False,True,False
2,0,3.0,0,0,1,10.0,91.0,1,2.8535135,0.3212836,12.532,41.888,1,103.8038,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,94.0,1,0.55066544,0.4048793,12.49637,41.89857,0,190.07318,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,90.0,1,2.6159654,1.1211916,12.47595,41.88789,0,182.12424,False,True,False,False,True,False
1,1,2.0,0,0,1,10.0,100.0,1,2.5936644,1.5621278,12.472,41.895,1,122.50719,False,True,False,False,True,False
2,0,4.0,1,1,0,10.0,97.0,1,2.1930413,0.16240014,12.51455,41.8834,0,149.8609,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,98.0,1,2.6805363,0.6688066,12.47088,41.90663,1,176.27943,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,97.0,1,7.329046,0.0780826,12.41429,41.9068,0,167.16153,True,False,False,True,False,False
2,0,6.0,0,0,0,9.0,89.0,3,3.5228555,0.29867294,12.482,41.873,1,259.97708,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,100.0,1,2.4733047,0.38611755,12.52465,41.88619,0,115.25963,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,100.0,1,5.61023,1.4631577,12.545,41.94,0,172.77254,False,False,True,False,False,True
2,0,6.0,0,0,0,9.0,88.0,2,0.99222845,0.5012258,12.5016,41.90979,0,241.97508,False,False,True,False,False,True
2,0,2.0,1,1,0,10.0,98.0,0,4.353609,1.0108874,12.45026,41.89564,0,176.27943,True,False,False,True,False,False
2,0,2.0,0,0,0,9.0,93.0,1,2.264719,0.20893975,12.48604,41.88447,0,207.6076,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,96.0,1,4.3250933,2.0775955,12.46832,41.93043,0,161.5505,True,False,False,True,False,False
1,1,4.0,0,0,1,9.0,91.0,1,0.688662,0.38253823,12.501,41.907,0,98.66037,False,False,True,False,False,True
1,1,3.0,1,1,0,10.0,94.0,1,2.681037,0.6625265,12.4709,41.90671,1,173.47392,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,94.0,1,3.6415641,0.4524766,12.48247,41.87161,0,138.40508,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,89.0,2,5.280083,2.533141,12.4523,41.87144,1,164.12222,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,100.0,2,2.2334843,0.45275456,12.47748,41.90874,1,238.70198,False,True,False,False,True,False
1,1,3.0,0,0,1,8.0,65.0,1,5.6731577,0.47815216,12.48097,41.85234,1,131.3913,False,True,False,False,True,False
1,1,4.0,1,1,0,10.0,100.0,1,3.8420362,0.35196674,12.54421,41.88627,1,103.8038,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,99.0,1,4.050582,1.3020223,12.4666,41.87597,0,145.18504,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,100.0,1,4.737094,0.19157751,12.44619,41.90892,0,161.5505,True,False,False,True,False,False
2,0,3.0,0,0,1,10.0,95.0,1,6.8451095,0.76957947,12.42089,41.91103,0,126.715454,True,False,False,True,False,False
2,0,4.0,0,0,1,9.0,93.0,1,2.7112367,1.440251,12.473,41.89,0,219.06343,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,98.0,1,3.5400372,0.30302602,12.47949,41.87392,1,201.76279,False,True,False,False,True,False
1,1,3.0,0,0,0,10.0,100.0,1,4.1238775,1.3336976,12.49894,41.86383,0,276.57635,False,True,False,False,True,False
2,0,4.0,0,0,1,8.0,90.0,2,2.4655056,1.496744,12.474,41.894,0,380.38016,False,True,False,False,True,False
2,0,5.0,0,1,0,9.0,91.0,2,1.9900652,0.29036084,12.47942,41.90636,1,380.38016,False,True,False,False,True,False
2,0,4.0,0,0,0,10.0,98.0,2,4.361464,1.775047,12.46351,41.92741,0,207.6076,True,False,False,True,False,False
2,0,6.0,0,0,1,8.0,90.0,1,2.4781165,0.32817885,12.475,41.91,1,356.06573,False,True,False,False,True,False
2,0,6.0,0,0,1,10.0,93.0,2,3.6247969,0.52859735,12.45884,41.9045,1,177.4484,True,False,False,True,False,False
2,0,4.0,1,0,0,10.0,93.0,2,1.1320933,0.7606132,12.49454,41.90928,1,309.54108,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,96.0,1,2.045819,0.33059964,12.479,41.907,0,265.1205,False,True,False,False,True,False
2,0,6.0,0,0,0,10.0,87.0,3,3.7504232,0.20679434,12.51855,41.93236,0,311.1776,False,False,True,False,False,True
1,1,3.0,1,1,0,10.0,93.0,1,2.9094837,1.5492096,12.471,41.889,0,164.82361,False,True,False,False,True,False
1,1,2.0,1,0,0,10.0,96.0,1,2.600821,0.69555926,12.472,41.907,0,167.16153,False,True,False,False,True,False
2,0,2.0,0,1,0,10.0,94.0,1,1.447917,0.31223986,12.505,41.888,1,161.7843,False,False,True,False,False,True
1,1,4.0,1,1,0,10.0,94.0,1,2.5869005,0.78499347,12.47179,41.90583,0,299.7218,False,True,False,False,True,False
2,0,5.0,0,0,1,10.0,100.0,1,5.552828,0.8492955,12.43615,41.90865,1,219.7648,True,False,False,True,False,False
2,0,6.0,1,1,0,9.0,84.0,2,4.096505,0.2112627,12.52698,41.86896,0,151.96503,False,False,True,False,False,True
2,0,4.0,1,0,1,10.0,98.0,1,3.076308,1.6201272,12.4696,41.88776,0,276.57635,True,False,False,True,False,False
1,1,2.0,1,0,1,10.0,96.0,1,4.0509944,0.26132837,12.45512,41.91038,0,285.92804,True,False,False,True,False,False
2,0,5.0,0,0,1,9.0,90.0,2,2.801042,1.5046663,12.46871,41.89804,0,241.97508,True,False,False,True,False,False
